ActiveIntent,Utterance
find_attraction,"If there is nothing under entertainment, do you have a museum you can recommend?"
find_attraction,"No, I don't mind paying admission."
find_attraction,"Sound good. Can I get their address, phone number and entrance fee please?"
find_attraction,"Do you happen to have any guesthouses in that area?"
find_attraction,"I need some recommendations for attractions in Cambridge at the centre, what would you suggest?"
find_attraction,"No, I don't have a preference. May I please have some suggestions?"
find_attraction,"Could you also provide me with the postcodes for these establishments?"
find_attraction,"Please have a taxi pick me up from riverboat georgina"
find_attraction,"I am looking for a place called Cherry Hinton Water Play"
find_attraction,"I also need their postcode."
find_attraction,"I would need a taxi to travel to cherry hinton water play from the restaurant."
find_attraction,"I am also looking for places to go in town, preferably in the centre."
find_attraction,"How about a concert hall?"
find_attraction,"Thank you. Can I also get the address and postcode?"
find_attraction,"I'm looking for a place to go in the centre of town."
find_attraction,"Do you have any suggestions? I would just need the postcode and phone number and let me know what kind of attraction you suggest. Thanks!"
find_attraction,"Yes, can you help me find places to go in town?"
find_attraction,"Yes, what do you recommend for entertainment?"
find_attraction,"Ok great! What type of entertainment is that?"
find_attraction,"Of course. Can you tell me the address and entrance fee please?"
find_attraction,"I am looking for a multiple sports event. Can you find one for me?"
find_attraction,"Actually, I wanted to stay in the centre. Can you see if there is something there?"
find_attraction,"Are there any colleges? If so, can you choose the best one and give me the address, postcode, and entrance fee?"
find_attraction,"Hey, any entertainment type places in this town?"
find_attraction,"Could I get the Cherry Hinton Hall's phone number, entrance fee, and postcode?"
find_attraction,"I'm looking for attractions in the category of colleges, any suggestions?"
find_attraction,"What areas of town are they in?"
find_attraction,"Tell me about the ones in the west. And can I get the address for Thanh Binh?"
find_attraction,"No, I also need a taxi to get between the two place."
find_attraction,"Yes, it's going to be one of the college...I need a suggestion for that. I need to leave the attraction by 2:00 to go to the restaurant."
find_attraction,"Sure, that sounds great. I just need that taxi to take me from Thanh Binh to the college."
find_attraction,"I want to get to the college by 02:00."
find_attraction,"Thank you so much! I also need some entertainment in the centre. What do you recommend?"
find_attraction,"I would prefer a lively college in the centre, please."
find_attraction,"sure, i just need the address, postcode, and entrance fee."
find_attraction,"I am looking for a museum on the east side."
find_attraction,"Can I get the address to one?"
find_attraction,"Could you give me the postcode, too?"
find_attraction,"I'll need to go from the hotel to the museum. I'd like to leave by 19:00 please."
find_attraction,"Can you give me information on a particular attraction, called kambar?"
find_attraction,"Great, could you also provide me with the phone number?"
find_attraction,"I would like to find a place to go in the centre of town, that includes multiple sports"
find_attraction,"Are there museums instead?"
find_attraction,"No, that's all."
find_attraction,"Yes, I would like the address please."
find_attraction,"We are also looking to visit a local museum. Do you have any recommendations?"
find_attraction,"Something close to the restaurant would be nice."
find_attraction,"What is the entrance fee and address? I think this sounds like a great place to visit."
find_attraction,"Thank you that was all I needed."
find_attraction,"i need a place to go in cambridge that has sports in the centre"
find_attraction,"Sure. I'd like to find something in the area of architecture."
find_attraction,"Ok. What is the phone number for Holy Trinity Church?"
find_attraction,"Can I have the address and phone number, please?"
find_attraction,"It doesn't matter. Could you also get me the postcode for Holy Trinity Church? I forgot to ask."
find_attraction,"What area is it in?"
find_attraction,"I'm looking for find more information about an attraction I want to visit. What can you tell me about Gallery at Twelve a High Street?"
find_attraction,"What is their postcode?"
find_attraction,"I would like to visit some colleges or universities in Cambridge. Can you make some recommendations?"
find_attraction,"Could you please give me the area, address, and postcode for Churchill College?"
find_attraction,"What is the address and post code?"
find_attraction,"Find me places to go in town. I want to go to museum type attractions."
find_attraction,"Can you give me the phone number to the closest one to my location?"
find_attraction,"I'm looking for a good museum to visit in the center of town. Can you recommend anything?"
find_attraction,"Yes, please. Can I get the phone number?"
find_attraction,"Hello, I would to know about some places to go in Cambridge. I'd like to do something on a boat, if possible."
find_attraction,"Let's try the one in the north. What is the entrance fee?"
find_attraction,"Yes, can I get the postcode and entrance fee?"
find_attraction,"I am also looking for the attraction, Tenpin."
find_attraction,"Is there an entrance fee?"
find_attraction,"Are you sure? I've always been able to get that information from this system. Can you check again please?"
find_attraction,"I am looking for King's College."
find_attraction,"Yes. Do you know what their entrance fee is? Also, I need some help finding an Italian restaurant in the centre area."
find_attraction,"I also need a taxi to travel between King's College and the restaurant."
find_attraction,"I am staying in the west part of cambridge and would like to know about some places to go."
find_attraction,"No, what would you recommend?"
find_attraction,"I would like the phone number and the post code please."
